dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Quiero postergar el nombramiento de un nuevo seÃ±or hasta que lo consulte con mis sÃºbditos
dlga_companion_personalityclash_response:close_window.2|No tengo tiempo para vuestras peleas banales. No me volvÃ¡is a molestar con estos temas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_personalitymatch_b|{s5};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_personalitymatch_b:companion_personalitymatch_response|{s5};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_personalitymatch_response:close_window|Muy bien.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_sisterly_advice|{s5};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_sisterly_advice:close_window|Gracias.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_sisterly_advice:close_window.1|Prefiero no discutir tales cosas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_home_description|{s5};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_home_description:companion_home_description_2|Explicaos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_home_description:close_window|No tenemos tiempo para charlar ahora mismo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_home_description:close_window.1|Prefiero que mis compaÃ±eros no me molesten con semejantes trivialidades.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_home_description_2:companion_home_description_3|{s5};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_home_description_3:close_window|{s5};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:rebel_thanks_answer|{s6};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_rebel_thanks_answer:rebel_thanks_answer_2|Ha sido un honor luchar por vuestra causa, {reg65?seÃ±ora:mi seÃ±or}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_rebel_thanks_answer:rebel_thanks_answer_2.1|Siempre contarÃ©is con mi leal apoyo, {reg65?mi seÃ±ora:seÃ±or}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_rebel_thanks_answer_2:close_window|EcharÃ© de menos esta vida de aventuras que llevo con vos, pero mis obligaciones me esperan. AsÃ­ pues... adiÃ³s por ahora, {playername}. Espero que nos volvamos a encontrar pronto.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_political_grievance_response|{s21};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_political_grievance_response:close_window|Tomo nota de vuestra opiniÃ³n.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_rejoin_response|Saludos, {s21}. Â¿Puedo volver a unirme a vuestro grupo ahora?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_rejoin_response.1|Bueno, {s21}, al fin os he encontrado. He estado haciendo correr las noticias sobre vuestra reclamaciÃ³n, y ahora ya puedo regresar a vuestro grupo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_rejoin_response.2|Bueno, {s21}, al fin os he encontrado. {s11}. Os entregarÃ© el resto de mi informe por escrito.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_embassy_results|Bueno, {s21}, al fin os he encontrado. He regresado de mi misiÃ³n en {s31}. En general, dirÃ­a que {s14}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:companion_rejoin_response|En esta carta, {s12} os reconoce como {seÃ±or/seÃ±ora} de {s4}, lo cual implica que de alguna manera os reconoce como monarca independiente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:companion_rejoin_response.1|En esta carta, {s12} se refiere a vos como {playername}, omitiendo tÃ­tulos. Esto quiere decir que no os reconoce como monarca.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:companion_rejoin_response.2|{s12} dice que vuestra tregua actual deberÃ­a ser suficiente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:companion_truce_confirm|{s12} dice que podrÃ­a considerar una tregua de cuarenta dÃ­as.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:companion_rejoin_response.3|{s12} dice que no tiene intenciÃ³n de conceder una tregua.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_truce_confirm:companion_rejoin_response|Muy bien, que concluya la tregua.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_truce_confirm:companion_rejoin_response.1|PensÃ¡ndolo bien, tal vez esto no nos interese.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:companion_rejoin_response.4|{s12} dice que vos ya sois leal a otro monarca.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:companion_rejoin_response.5|{s12} dice que no cree que honrÃ©is vuestras obligaciones de vasallaje, y sospecha que vuestra oferta es sÃ³lo un ardid.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_embassy_results:vassalage_offer_confirm|{s12} dice que acepta vuestra oferta de vasallaje. Os da treinta dÃ­as para ir a su encuentro, durante los cuales no buscarÃ¡ la guerra con vos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_vassalage_offer_confirm:companion_rejoin_response|Decidle que acepto sus tÃ©rminos...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_rejoin_response:close_window|Â¡Os doy la bienvenida nuevamente!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_rejoin_response:companion_rejoin_refused|Por desgracia, no puedo aceptaros ahora mismo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_companion_rejoin_refused:close_window|Como querÃ¡is. Entonces me ocuparÃ© de unos asuntos personales y regresarÃ© en unos dÃ­as.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:companion_rejoin_response.3|Â¿QuerÃ©is que vuelva con vos?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:close_window.1|Lo lamento, estoy hablando conmigo mismo [ERROR- {s51}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_event_triggered:close_window.2|Lo siento, estaba hablando conmigo {mismo/misma} [ERROR- {s51}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_start|Mi seÃ±ora, espero impacientemente nuestra boda, en cuanto podamos celebrarla propiamente con un banquete.{s12};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_start.1|Â¿SÃ­, esposa mÃ­a?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_start.2|SÃ­, {seÃ±or/mi seÃ±ora}?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_start.3|Es bueno veros, camarada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_groom_vows|Mi seÃ±ora, me he cansado de esperar. CasÃ©monos inmediatamente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_groom_vows.1|Mi seÃ±ora, me alegro tanto de veros. Procedamos a intercambiar nuestros votos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_groom_vows:female_pc_marriage_vow|Mi seÃ±ora, con esta asamblea como testigo, juro tomaros como esposa, honraros, respetaros y protegeros. Que los cielos nos bendigan con salud, prosperidad e hijos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_female_pc_marriage_vow:lord_groom_wedding_complete|Juro tomaros como esposo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_female_pc_marriage_vow:close_window|Esperad. Necesito pensarlo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_groom_wedding_complete:close_window|Somos ya marido y mujer. Â¡Que comiencen los festejos!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:close_window.10|Â¡Ja! No sois tan galante ahora, Â¿eh? No me molestÃ©is mÃ¡s.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:close_window.11|Muy bien. HabÃ©is ganado. Que todos los presentes hoy vean que me habÃ©is vencido y yo abandonarÃ© mi cortejo de {s10}. Â¿EstÃ¡is {satisfecho, desgraciado/satisfecha, desgraciada}?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:close_window.12|Levantaos. Que todos los presentes hoy vean que os he vencido, y que ahora tendrÃ©is que abandonar el cortejo de {s10}. Os permitirÃ© una Ãºltima visita para despediros. DespuÃ©s de eso, si volvÃ©is a verla, todos sabrÃ¡n que sois un hombre sin honor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:close_window.13|Es maravilloso... Â¡En breve estaremos casados! Aunque debo deciros que, segÃºn nuestras costumbres, los prometidos no deben hablar solos hasta estar casados.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:close_window.14|Oh, {playername}, puede que no conozcÃ¡is nuestras costumbres, pero esperaba que esperado que alguien os lo hubiera dicho... Por favor, hablad con mi {s11}, {s4}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:close_window.15|No sÃ© dÃ³nde encontrar a mi {s11} {s10}, que segÃºn las tradiciones es quien debe presidir nuestra boda. Tal vez debamos esperar hasta que alguien lo encuentre...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:player_siege_castle_commander_1|Â¿QuÃ© querÃ©is?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_castle_commander_1:player_siege_ask_surrender|Â¡RendÃ­os! Â¡Vuestra situaciÃ³n es desesperada!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_castle_commander_1:close_window|Nada. Me retiro.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_surrender:player_siege_ask_surrender_treatment|Tal vez... Â¿Nos dais vuestra palabra de honor de que seremos bien tratados?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_surrender:player_siege_ask_leave_unmolested|Estamos dispuestos a abandonar este castillo y dejÃ¡roslo si nos dais vuestra palabra de honor de que nos permitirÃ©is marchar en paz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_surrender:close_window|Â¿Rendirnos? Â¡Ja! Podemos defender estos muros hasta morirnos de viejos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_reject|No os darÃ© nada. Â¡RendÃ­os o preparaos para morir!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_surrender_treatment_reject:close_window|Sois una bestia. Â¡Os haremos frente hasta que no quede nadie!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_accept|Pediremos rescate por vos, y vuestros soldados vivirÃ¡n. Os doy mi palabra.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_surrender_treatment_accept:close_window|De acuerdo, entonces. En esas condiciones, os ofrezco mi rendiciÃ³n.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_accept|TenÃ©is mi palabra. No os atacaremos si abandonÃ¡is el castillo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_leave_unmolested_accept:close_window|Muy bien. En ese caso dejaremos el castillo a vuestra merced. HabÃ©is ganado en esta ocasiÃ³n. Pero nos volveremos a ver.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_reject|Inaceptable. Quiero prisioneros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_player_siege_ask_leave_unmolested_reject:close_window|Entonces defenderemos este castillo hasta la muerte, y esta conversaciÃ³n ha terminado. AdiÃ³s.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break:lord_prison_break_confirm|He venido a rescataros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break:close_window|No importa, tan solo callaos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break_confirm:lord_prison_break_confirm_2|Â¡Gracias a los cielos! No sÃ© cuÃ¡nto mÃ¡s podrÃ­a haber resistido aquÃ­.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break_confirm_2:lord_prison_break_confirm_3|Pero esperad, Â¿cÃ³mo escaparemos? Los guardias nos reducirÃ¡n en cuanto salgamos por la puerta. Puedo ayudaros en la lucha, pero os informo que no me han dado nada de comer salvo un poco de avena aguada, y casi no tengo fuerzas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break_confirm_3:lord_prison_break_confirm_4|Manteneos detrÃ¡s de mÃ­ e intentad apartaros de la refriega.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break_confirm_3:lord_prison_break_confirm_4.1|Necesito que tomÃ©is un arma y me ayudÃ©is, a pesar de vuestra debilidad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break_confirm_3:close_window|De hecho, manteneos al margen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_prison_break_confirm_4:close_window|Â¡Vamos!{s14};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:freed_lord_answer|Estoy en deuda con vos por liberarme, camarada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_freed_lord_answer:freed_lord_answer_1|No irÃ©is a ninguna parte, 'camarada'. Ahora sois mi prisionero.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_freed_lord_answer_1:close_window|Â¡EnsartarÃ© vuestra cabeza en una pica por esto, indeseable! Â¡AlgÃºn dÃ­a!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_freed_lord_answer:freed_lord_answer_2|Sois libre de ir donde querÃ¡is, seÃ±or.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_freed_lord_answer_2:close_window|Gracias, {buen seÃ±or/buena seÃ±ora}. Nunca olvido a quien me ha hecho un favor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:defeat_lord_answer|{s43};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_defeat_lord_answer:defeat_lord_answer_1|Ahora os he capturado yo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_defeat_lord_answer_1:close_window|Estoy a vuestra merced.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_defeat_lord_answer:defeat_lord_answer_2|HabÃ©is luchado bien. Sois libre de marcharos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_defeat_lord_answer_2:close_window|{s43};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:party_encounter_lord_hostile_attacker|Â¡{playername}!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:party_encounter_lord_hostile_attacker.1|Â¡Alto ahÃ­!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker|{s42};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker_2|{s43};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_lord_hostile_attacker_2:close_window|Â¡Lucharemos hasta la muerte!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_lord_hostile_attacker_2:lord_recruit_1_relation|Â¡Esperad! Hay algo que debo comentaros en privado.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_lord_hostile_attacker_2:party_encounter_offer_dont_fight|Â¿No hay forma de evitar esta batalla? No quiero luchar con vos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_lord_hostile_attacker_2:close_window.1|Â¡No ataquÃ©is! Nos rendimos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_offer_dont_fight:close_window|Creo que os debo un favor. Bien... esta vez os dejarÃ© ir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_party_encounter_offer_dont_fight:close_window.1|{s43};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_requests_recruitment|{s9};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_requests_recruitment:close_window|{s9};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_requests_recruitment:lord_requests_recruitment_refuse|{s9};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_requests_recruitment_refuse:close_window|{s9};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:supported_pretender_talk|Espero vuestro consejo, {playername}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:pretender_intro_1|Â¿Os conozco?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_intro_1:pretender_intro_2|Me llamo {playername}. A vuestro servicio.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_intro_1:pretender_intro_2.1|Soy {playername}. QuizÃ¡s hayÃ¡is oÃ­do hablar de mis hazaÃ±as.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_intro_2:pretender_intro_3|{s48};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_intro_3:pretender_rebellion_cause_1|Â¿No estaba el {s12} gobernado por el {s11}?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:pretender_start|Saludos, {playername}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_start:pretender_rebellion_cause_prelim|Â¿CuÃ¡l era vuestra historia, {reg65?mi seÃ±ora:seÃ±or}?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_rebellion_cause_prelim:pretender_rebellion_cause_1|Os la contarÃ©.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_rebellion_cause_1:pretender_rebellion_cause_2|{s48};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_rebellion_cause_2:pretender_rebellion_cause_3|{s48};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_rebellion_cause_3:pretender_start|{s48};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_start:pretender_discuss_rebellion_1|Â¡Quiero unirme a vuestra causa y ayudaros a reclamar vuestro trono!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_start:pretender_end|Debo marcharme ahora.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_1:pretender_discuss_rebellion_2a|Â¿EstÃ¡is {seguro/segura} de querer hacerlo, {playername}? Reclamar el trono no es algo fÃ¡cil. Los seÃ±ores del reino han jurado lealtad a {s11}. Tales juramentos a usurpadores son obviamente ilegales, y algunos seÃ±ores podrÃ­an unirse a nuestra causa, pero tenemos un duro camino por delante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_2a:pretender_discuss_rebellion_2|{s11};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_2:pretender_discuss_rebellion_3|No temo a esta contienda.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_2:pretender_end|TenÃ©is razÃ³n. Tal vez deberÃ­a pensarlo un poco mÃ¡s.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_3:close_window|No me caben dudas de que vuestro apoyo hacia mi causa es sincero, {playername}, y os doy las gracias por ello. Pero no creo que tengamos muchas posibilidades de Ã©xito. Si conseguÃ­s ganaros la fama en el campo de batalla y haceros un nombre como gran comandante, nuestros amigos no dudarÃ­an en unirse a nuestra causa y nuestros enemigos se lo pensarÃ­an mejor antes de tomar las armas contra nosotros. Cuando llegue ese dÃ­a, irÃ© con vos de buen grado. Pero hasta ese momento, serÃ­a mÃ¡s prudente no retar abiertamente al usurpador, {s11}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_3:close_window.1|Â¿No estÃ¡is apoyando ya la causa de {s17}? DebÃ©is poseer un enorme sentido de la justicia, desde luego. Pero no, gracias. No serÃ© parte de vuestro juego.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_3:close_window.2|{playername}, ya habÃ©is hecho un juramento para servir a {s15}. Por ello, no puedo permitiros que os unÃ¡is a mi causa, y dejar que mis enemigos afirmen que soy un mero tÃ­tere de {s16}. No, si voy a reclamar el trono de {s17}, debo hacerlo por la justicia de mi causa y gracias al apoyo de mis sÃºbditos. Si querÃ©is ayudarme, antes debÃ©is liberaros de vuestro juramento a {s15}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_3:close_window.3|Sois {nuestro/nuestra} monarca en pleno derecho, {mi seÃ±or/mi seÃ±ora}. Si me ayudarais, yo solamente serÃ­a vuestra marioneta.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_discuss_rebellion_3:pretender_rebellion_ready|TenÃ©is gran experiencia en la guerra, {playername}, y no me cabe duda de que con vuestro renombre como comandante y la justicia de mi causa los nobles y las buenas gentes de {s12} acudirÃ¡n en masa a apoyarnos. Â¡Es el momento de actuar! IrÃ© con vos, derribaremos al usurpador {s11} y arrancaremos el trono de sus manos ensangrentadas. Pero antes, debÃ©is jurarme obediencia y aceptarme como {reg65?vuestra seÃ±ora:vuestro seÃ±or}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_rebellion_ready:lord_give_oath_2|Estoy en disposiciÃ³n de consagrarme a vuestra causa, {reg3?mi seÃ±ora:seÃ±or}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_rebellion_ready:pretender_end|Sigamos a la espera un poco mÃ¡s de tiempo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_give_conclude_2:close_window|Â¡Adelante, pues! Nuestra primera tarea serÃ¡ ocupar una fortaleza y persuadir a otros seÃ±ores para que se nos unan. Â¡Abrid vos el camino!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_pretender_end:close_window|AdiÃ³s por ahora, entonces.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_event_choose_friend|He oÃ­do que os habÃ©is amigado con ese {s43} llamado {s6}. Creedme, no podÃ©is confiar en ese hombre. DeberÃ­ais terminar con esa relaciÃ³n.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_event_choose_friend:lord_event_choose_friend_renounce|Os lo aseguro, {s65}, no siento ningÃºn cariÃ±o por {s6}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_event_choose_friend_renounce:lord_pretalk|Me congratula oÃ­r eso, {playername}. De otro modo, temerÃ­a por vuestra integridad. Si os encontrÃ¡is con {s6}, estad alerta y no creÃ¡is una palabra.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_event_choose_friend:lord_event_choose_friend_defend|{s6} es un hombre honorable, no tenÃ©is derecho a hablar asÃ­ de Ã©l.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_event_choose_friend_defend:lord_pretalk|Como deseÃ©is, {playername}. SerÃ©is imbÃ©cil, pero al menos imbÃ©cil y leal. La lealtad de {s6} puede que no sea tan firme, no obstante...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_event_choose_friend:lord_event_choose_friend_neutral|No quiero inmiscuirme en vuestros problemas con {s6}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_event_choose_friend_neutral:lord_pretalk|Hum. Como deseÃ©is, {playername}. Pero recordad que {un hombre/una mujer} necesita amigos en este mundo, y nunca los harÃ©is si no apoyÃ¡is a nadie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_start.4|Mi seÃ±ora, estoy tan feliz de veros nuevamente...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_start.5|Mi seÃ±ora, siempre serÃ© vuestro humilde servidor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_start.6|Pero si es mi valiente {playername}...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_invite_player_monarch_1|Bueno, {playername}. He decidido perdonar vuestra insolencia al proclamaros {rey/reina}, y os doy la bienvenida a mi reino con todos los honores, como uno de mis vasallos. Â¿Procedemos al juramento de lealtad?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_invite_player_monarch_1:lord_invite_2|SÃ­... mi seÃ±or.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_invite_player_monarch_1:lord_enter_service_reject|No. Ese juramento se me atraganta.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_start:lord_invite_1|{playername}, os estaba esperando. Me han llegado noticias de vuestras hazaÃ±as. La verdad, oigo tales historias sobre vuestros logros y coraje que no me ha costado nada decidirme. SÃ© que he encontrado a alguien digno de ser mi vasallo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_invite_1:lord_invite_2|Gracias, {s65}, me honrÃ¡is con vuestra oferta.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_invite_1:lord_invite_2.1|Es justo que reconozcan toda mi valÃ­a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_invite_2:lord_invite_3|SÃ­. Dejemos de lado las formalidades, {playername};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_invite_3:lord_give_oath_2|SÃ­, {s65}.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlga_lord_invite_3:lord_enter_service_reject|No, {s65}. No puedo serviros ahora mismo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
