skinkey_chin_size|Tamaño mentón
skinkey_chin_shape|Forma mentón
skinkey_chin_forward|Saliente mentón
skinkey_jaw_width|Ancho mandíbula
skinkey_jaw_position|Posición mandíbula
skinkey_mouth_nose_distance|Distancia boca-nariz
skinkey_mouth_width|Ancho boca
skinkey_cheeks|Mejillas
skinkey_nose_height|Alto nariz
skinkey_nose_width|Ancho nariz
skinkey_nose_size|Tamaño nariz
skinkey_nose_shape|Forma nariz
skinkey_nose_bridge|Puente nariz
skinkey_cheek_bones|Pómulos
skinkey_eye_width|Ancho ojos
skinkey_eye_to_eye_dist|Dist entre ojos
skinkey_eye_shape|Forma ojos
skinkey_eye_depth|Profundidad ojos
skinkey_eyelids|Párpados
skinkey_eyebrow_position|Posición cejas
skinkey_eyebrow_height|Alto cejas
skinkey_eyebrow_depth|Profundidad cejas
skinkey_eyebrow_shape|Forma cejas
skinkey_temple_width|Ancho sien
skinkey_face_depth|Profundidad cara
skinkey_face_ratio|Proporción cara
skinkey_face_width|Ancho cara
skinkey_post_edit|Post-edición
skinkey_chin_size|Tamaño mentón
skinkey_chin_shape|Forma mentón
skinkey_chin_forward|Saliente mentón
skinkey_jaw_width|Ancho mandíbula
skinkey_jaw_position|Posición mandíbula
skinkey_mouth_nose_distance|Distancia boca-nariz
skinkey_mouth_width|Ancho boca
skinkey_cheeks|Mejillas
skinkey_nose_height|Alto nariz
skinkey_nose_width|Ancho nariz
skinkey_nose_size|Tamaño nariz
skinkey_nose_shape|Forma nariz
skinkey_nose_bridge|Puente nariz
skinkey_cheek_bones|Pómulos
skinkey_eye_width|Ancho ojos
skinkey_eye_to_eye_dist|Dist entre ojos
skinkey_eye_shape|Forma ojos
skinkey_eye_depth|Profundidad ojos
skinkey_eyelids|Párpados
skinkey_eyebrow_position|Posición cejas
skinkey_eyebrow_height|Alto cejas
skinkey_eyebrow_depth|Profundidad cejas
skinkey_eyebrow_shape|Forma cejas
skinkey_temple_width|Ancho sien
skinkey_face_depth|Profundidad cara
skinkey_face_ratio|Proporción cara
skinkey_face_width|Ancho cara
skinkey_post_edit|Post-edición
